,period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
198,2024-11-06,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1119208,megawatthours
199,2024-11-06,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Mountain,Mountain,1123238,megawatthours
200,2024-11-06,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Pacific,Pacific,1125968,megawatthours
201,2024-11-06,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Arizona,Arizona,-2874,megawatthours
202,2024-11-06,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Central,Central,-2965,megawatthours
203,2024-11-06,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Eastern,Eastern,-3008,megawatthours
204,2024-11-06,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Mountain,Mountain,-2874,megawatthours
205,2024-11-06,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Pacific,Pacific,-2622,megawatthours
206,2024-11-05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1133162,megawatthours
207,2024-11-05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1138532,megawatthours
208,2024-11-05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1143206,megawatthours
209,2024-11-05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1133162,megawatthours
210,2024-11-05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1127964,megawatthours
211,2024-11-05,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1120649,megawatthours
212,2024-11-05,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1123949,megawatthours
213,2024-11-05,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1127094,megawatthours
214,2024-11-05,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1120649,megawatthours
215,2024-11-05,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1117968,megawatthours
216,2024-11-05,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1130737,megawatthours
217,2024-11-05,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1136242,megawatthours
218,2024-11-05,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1140983,megawatthours
